ERROR, [2016-09-26 11:04:17.575], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : org.apache.jasper.servlet.JspServletWrapper.service(JspServletWrapper.java:439)
ERROR, [2016-09-26 11:04:17.575], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : org.apache.jasper.servlet.JspServlet.serviceJspFile(JspServlet.java:395)
ERROR, [2016-09-26 11:04:17.575], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : org.apache.jasper.servlet.JspServlet.service(JspServlet.java:339)
ERROR, [2016-09-26 11:04:17.575], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : javax.servlet.http.HttpServlet.service(HttpServlet.java:731)
ERROR, [2016-09-26 11:04:17.575], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:303)
ERROR, [2016-09-26 11:04:17.575], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:208)
ERROR, [2016-09-26 11:04:17.575], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:220)
ERROR, [2016-09-26 11:04:17.575], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:122)
ERROR, [2016-09-26 11:04:17.575], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:505)
ERROR, [2016-09-26 11:04:17.576], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:169)
ERROR, [2016-09-26 11:04:17.576], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:103)
ERROR, [2016-09-26 11:04:17.576], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : org.apache.catalina.valves.AccessLogValve.invoke(AccessLogValve.java:956)
ERROR, [2016-09-26 11:04:17.576], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:116)
ERROR, [2016-09-26 11:04:17.576], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:436)
ERROR, [2016-09-26 11:04:17.576], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : org.apache.coyote.http11.AbstractHttp11Processor.process(AbstractHttp11Processor.java:1078)
ERROR, [2016-09-26 11:04:17.576], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : org.apache.coyote.AbstractProtocol$AbstractConnectionHandler.process(AbstractProtocol.java:625)
ERROR, [2016-09-26 11:04:17.576], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : org.apache.tomcat.util.net.JIoEndpoint$SocketProcessor.run(JIoEndpoint.java:318)
ERROR, [2016-09-26 11:04:17.576], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:895)
ERROR, [2016-09-26 11:04:17.576], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:918)
ERROR, [2016-09-26 11:04:17.576], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61)
ERROR, [2016-09-26 11:04:17.576], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : java.lang.Thread.run(Thread.java:662)
ERROR, [2016-09-26 11:04:17.577], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQWEBVIEW], trace : java.lang.NullPointerException
